識別碼,主檔ID,測量項目,測量位置,尺寸下限,尺寸上限,公差下限,公差上限,標準值,單位,備註
2076,237,同心度,,,0.3500,,,,mm,
2077,238,外徑,,,,-0.5000,0.5000,90.0000,mm,
2078,238,厚度,,,,-0.2000,0.3000,2.5000,mm,
2079,238,長度,,,,-1.0000,1.0000,645.0000,mm,
2080,238,同心度,,,0.2500,,,,mm,
2081,239,外徑,,,,-0.1500,0.2000,28.0000,mm,
2082,239,厚度,,,,-0.1000,0.1500,2.5000,mm,
2083,239,長度,,,,-1.0000,1.0000,415.0000,mm,
2084,239,同心度,,,0.2500,,,,mm,
2085,240,外徑,,,,-0.1500,0.2000,38.0000,mm,
2086,240,厚度,,,,-0.1500,0.2500,4.6000,mm,
2087,240,長度,,,,-1.0000,1.0000,460.0000,mm,
2088,240,同心度,,,0.4500,,,,mm,
2089,241,外徑,,,,-0.0500,0.0500,33.0000,mm,
2090,241,內徑,,,,-0.0500,0.0500,28.2000,mm,
2091,241,長度,,,,0.0000,2.0000,323.0000,mm,
2092,241,同心度,,,0.1000,,,,mm,
2093,241,真圓度,,,0.0500,,,,mm,
2094,241,真直度,,,0.1500,,,,mm,
