
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    [::]:5432              [::]:0                 LISTENING       8716
  TCP    [::]:7680              [::]:0                 LISTENING       14020
  TCP    [::]:49664             [::]:0                 LISTENING       1112
  TCP    [::]:49665             [::]:0                 LISTENING       1020
  TCP    [::]:49668             [::]:0                 LISTENING       1012
  TCP    [::]:49669             [::]:0                 LISTENING       2772
  TCP    [::]:49688             [::]:0                 LISTENING       6452
  TCP    [::]:49703             [::]:0                 LISTENING       924
  TCP    [::]:55168             [::]:0                 LISTENING       9628
  TCP    [::1]:5432             [::1]:58548            ESTABLISHED     8716
  TCP    [::1]:5432             [::1]:59968            ESTABLISHED     8716
  TCP    [::1]:5432             [::1]:59969            ESTABLISHED     8716
  TCP    [::1]:5432             [::1]:59970            ESTABLISHED     8716
  TCP    [::1]:5432             [::1]:65189            ESTABLISHED     8716
  TCP    [::1]:5432             [::1]:65190            ESTABLISHED     8716
  TCP    [::1]:42050            [::]:0                 LISTENING       21740
  TCP    [::1]:49695            [::]:0                 LISTENING       9112
  TCP    [::1]:49709            [::1]:55168            ESTABLISHED     6784
  TCP    [::1]:55168            [::1]:49709            ESTABLISHED     9628
  TCP    [::1]:58548            [::1]:5432             ESTABLISHED     21632
  TCP    [::1]:59968            [::1]:5432             ESTABLISHED     21632
  TCP    [::1]:59969            [::1]:5432             ESTABLISHED     21632
  TCP    [::1]:59970            [::1]:5432             ESTABLISHED     21632
  TCP    [::1]:65189            [::1]:5432             ESTABLISHED     21632
  TCP    [::1]:65190            [::1]:5432             ESTABLISHED     21632
  UDP    0.0.0.0:3702           *:*                                    6196
  UDP    0.0.0.0:3702           *:*                                    6196
  UDP    0.0.0.0:5050           *:*                                    4556
  UDP    0.0.0.0:5353           *:*                                    3116
  UDP    0.0.0.0:5353           *:*                                    19844
  UDP    0.0.0.0:5353           *:*                                    3116
  UDP    0.0.0.0:5353           *:*                                    14704
  UDP    0.0.0.0:5353           *:*                                    19844
  UDP    0.0.0.0:5353           *:*                                    2136
  UDP    0.0.0.0:5353           *:*                                    2136
  UDP    0.0.0.0:5353           *:*                                    2668
  UDP    0.0.0.0:5353           *:*                                    14704
  UDP    0.0.0.0:5353           *:*                                    19844
  UDP    0.0.0.0:5353           *:*                                    2136
  UDP    0.0.0.0:5353           *:*                                    14704
  UDP    0.0.0.0:5353           *:*                                    3116
  UDP    0.0.0.0:5353           *:*                                    19844
  UDP    0.0.0.0:5353           *:*                                    3116
  UDP    0.0.0.0:5353           *:*                                    2136
  UDP    0.0.0.0:5353           *:*                                    14704
  UDP    0.0.0.0:5355           *:*                                    2668
  UDP    0.0.0.0:55725          *:*                                    6196
  UDP    0.0.0.0:55735          *:*                                    6452
  UDP    0.0.0.0:56771          *:*                                    11052
  UDP    0.0.0.0:59870          *:*                                    16232
  UDP    0.0.0.0:59871          *:*                                    16232
  UDP    0.0.0.0:61863          142.250.77.10:443                      8544
  UDP    0.0.0.0:63887          142.250.204.42:443                     8544
  UDP    127.0.0.1:1900         *:*                                    10984
  UDP    127.0.0.1:55724        127.0.0.1:55724                        5744
  UDP    127.0.0.1:59425        *:*                                    10984
  UDP    192.168.0.73:137       *:*                                    4
  UDP    192.168.0.73:138       *:*                                    4
  UDP    192.168.0.73:1900      *:*                                    10984
  UDP    192.168.0.73:59423     *:*                                    10984
  UDP    192.168.0.144:137      *:*                                    4
  UDP    192.168.0.144:138      *:*                                    4
  UDP    192.168.0.144:1900     *:*                                    10984
  UDP    192.168.0.144:59424    *:*                                    10984
  UDP    [::]:3702              *:*                                    6196
  UDP    [::]:3702              *:*                                    6196
  UDP    [::]:5353              *:*                                    14704
  UDP    [::]:5353              *:*                                    2668
  UDP    [::]:5353              *:*                                    2136
  UDP    [::]:5353              *:*                                    14704
  UDP    [::]:5353              *:*                                    3116
  UDP    [::]:5353              *:*                                    19844
  UDP    [::]:5353              *:*                                    19844
  UDP    [::]:5353              *:*                                    3116
  UDP    [::]:5353              *:*                                    2136
  UDP    [::]:5355              *:*                                    2668
  UDP    [::]:55726             *:*                                    6196
  UDP    [::1]:1900             *:*                                    10984
  UDP    [::1]:59422            *:*                                    10984
  UDP    [fe80::4652:ab6c:9232:245b%15]:1900  *:*                                    10984
  UDP    [fe80::4652:ab6c:9232:245b%15]:59420  *:*                                    10984
  UDP    [fe80::93ed:e444:ebd:bc87%5]:1900  *:*                                    10984
  UDP    [fe80::93ed:e444:ebd:bc87%5]:59421  *:*                                    10984
